symbol,name,weight,shares_held,market_value
MSFT,Microsoft Corp,7.29%,87600000.0,39600000000.0
NVDA,NVIDIA Corp,6.74%,289800000.0,39600000000.0
AAPL,Apple Inc,6.67%,169800000.0,39600000000.0
AMZN,Amazon.com Inc,3.85%,107900000.0,39600000000.0
META,Meta Platforms Inc Class A,2.44%,25800000.0,39600000000.0
GOOGL,Alphabet Inc Class A,2.34%,69200000.0,39600000000.0
GOOG,Alphabet Inc Class C,1.96%,57600000.0,39600000000.0
BRK/B,Berkshire Hathaway Inc Class B,1.61%,21300000.0,39600000000.0
LLY,Eli Lilly and Co,1.56%,9400000.0,39600000000.0
AVGO,Broadcom Inc,1.50%,5100000.0,39600000000.0
JPM,JPMorgan Chase & Co,1.23%,33800000.0,39600000000.0
TSLA,Tesla Inc,1.18%,32700000.000000004,39600000000.0
XOM,Exxon Mobil Corp,1.11%,52900000.0,39600000000.0
UNH,UnitedHealth Group Inc,0.97%,10800000.0,39600000000.0
V,Visa Inc Class A,0.93%,18500000.0,39600000000.0
PG,Procter & Gamble Co,0.86%,27800000.0,39600000000.0
COST,Costco Wholesale Corp,0.83%,5200000.0,39600000000.0
MA,Mastercard Inc Class A,0.81%,9700000.0,39600000000.0
JNJ,Johnson & Johnson,0.77%,28400000.0,39600000000.0
HD,The Home Depot Inc,0.73%,11700000.0,39600000000.0
MRK,Merck & Co Inc,0.72%,29900000.0,39600000000.0
ABBV,AbbVie Inc,0.66%,20800000.0,39600000000.0
NFLX,Netflix Inc,0.63%,5100000.0,39600000000.0
WMT,Walmart Inc,0.63%,50300000.0,39600000000.0
BAC,Bank of America Corp,0.58%,80200000.0,39600000000.0
CVX,Chevron Corp,0.58%,20200000.0,39600000000.0
AMD,Advanced Micro Devices Inc,0.55%,19000000.0,39600000000.0
KO,Coca-Cola Co,0.54%,45700000.0,39600000000.0
ADBE,Adobe Inc,0.51%,5300000.0,39600000000.0
CRM,Salesforce Inc,0.51%,11400000.0,39600000000.0
PEP,PepsiCo Inc,0.50%,16200000.0,39600000000.0
QCOM,Qualcomm Inc,0.48%,13200000.0,39600000000.0
ORCL,Oracle Corp,0.48%,18800000.0,39600000000.0
LIN,Linde PLC,0.46%,5700000.0,39600000000.0
TMO,Thermo Fisher Scientific Inc,0.46%,4500000.0,39600000000.0
WFC,Wells Fargo & Co,0.43%,41100000.0,39600000000.0
AMAT,Applied Materials Inc,0.42%,9800000.0,39600000000.0
